date	where	score	winner	loser
20100917	H	3-2	Georgetown	George Washington
20100920	H	6-1	La Salle	Moravian
20100921	A	6-3	La Salle	Jefferson
20100922	H	5-2	Bryant	Providence
20101002	H	7-0	Bryant	Wagner
20101003	N	7-0	Bryant	St. Francis (NY)
20101006	A	6-1	Drexel	Monmouth (NJ)
20101009	H	7-0	Bryant	Monmouth (NJ)
20101013	A	6-1	Delaware State	St. Joseph's (PA)
20101018	A	7-0	Delaware	St. Joseph's (PA)
20101020	H	5-2	Connecticut	Quinnipiac
20101026	H	6-1	Drexel	Rider
20101107	H	7-0	Yale	Buffalo
20101123	N	7-0	Stanford	Hawaii
20110108	A	6-1	Duke	Hawaii
20110114	H	4-3	CSUN	Nevada
20110115	H	4-0	Winthrop	Hampton
20110115	H	5-2	Winthrop	Wofford
20110116	A	4-3	Nevada	Loyola Marymount
20110118	H	7-0	Rice	A&M-Corpus Christi
20110118	H	6-1	USC	CSUN
20110119	H	7-0	Penn	Drexel
20110119	H	5-2	UCLA	St. Mary's (CA)
20110121	H	7-0	Clemson	Troy
20110121	H	7-0	Miami (FL)	Florida Atlantic
20110121	H	6-1	Baylor	Houston
20110121	A	5-2	Boise State	Denver
20110121	H	5-2	UNLV	New Mexico State
20110121	N	6-0	Wyoming	Colorado Mesa
20110121	H	7-0	Arizona	Northern Arizona
20110121	H	7-0	Arizona State	Iowa State
20110121	A	4-3	Colorado	Air Force
20110121	H	7-0	Oregon	Portland State
20110121	H	6-1	USC	Long Beach State
20110121	H	7-0	Washington State	Lewis-Clark (ID)
20110121	H	7-0	Washington State	Seattle
20110121	H	7-0	Georgia	Memphis
20110121	H	4-3	Vanderbilt	Northwestern
20110121	N	7-0	Pacific (CA)	Weber State
20110122	H	7-0	Central Florida	Florida A&M
20110122	H	4-0	Clemson	Memphis
20110122	H	5-0	Clemson	USC Upstate
20110122	H	7-0	Duke	William & Mary
20110122	H	5-2	Florida State	Florida International
20110122	H	7-0	N.C. State	Charleston Southern
20110122	A	5-2	Notre Dame	Illinois
20110122	H	7-0	North Carolina	Elon
20110122	H	7-0	North Carolina	Winthrop
20110122	H	7-0	Virginia	Brown
20110122	H	7-0	Virginia	Richmond
20110122	N	6-1	Oklahoma State	Mississippi State
20110122	H	7-0	TCU	UTRGV
20110122	H	7-0	Texas	Rice
20110122	H	5-2	DePaul	Eastern Michigan
20110122	H	7-0	DePaul	Western Illinois
20110122	A	1-8	Eastern Washington	Whitworth
20110122	H	6-1	Indiana	Western Michigan
20110122	A	6-1	Iowa	Northern Iowa
20110122	N	5-2	Minnesota	Kentucky
20110122	H	6-1	Purdue	Cincinnati
20110122	A	6-1	Wisconsin	Old Dominion
20110122	A	4-3	Youngstown State	IUPUI
20110122	H	5-2	Dartmouth	Temple
20110122	H	5-2	Harvard	Boston University
20110122	N	5-0	Penn	Norfolk State
20110122	H	6-1	Yale	Boston College
20110122	H	6-1	San Diego State	CSU Fullerton
20110122	H	6-1	San Diego State	UC Riverside
20110122	H	7-0	UNLV	Weber State
20110122	H	4-3	New Mexico	Drake
20110122	A	5-2	Washington	BYU
20110122	H	7-0	Arkansas	North Texas
20110122	H	6-1	South Carolina	S.C. State
20110122	N	4-3	New Mexico State	Pacific (CA)
20110122	A	5-2	Seattle	Lewis-Clark (ID)
20110122	H	7-0	San Diego	CSU Fullerton
20110122	A	5-2	Akron	Penn State
20110122	H	5-0	Northern Colorado	Colorado Mesa
20110123	H	7-0	SMU	UTSA
20110123	H	5-2	Georgia Tech	Northwestern
20110123	H	6-1	Wake Forest	Winthrop
20110123	H	5-2	Oklahoma	Wichita State
20110123	H	4-3	Marquette	Illinois - Chicago
20110123	H	6-1	Eastern Washington	Seattle
20110123	H	7-0	Eastern Washington	Whitman
20110123	H	7-0	Indiana	Ball State
20110123	H	7-0	Indiana	Xavier
20110123	H	7-0	Michigan	Western Michigan
20110123	H	7-0	Michigan State	Detroit Mercy
20110123	H	7-0	Ohio State	Cincinnati
20110123	H	7-0	Ohio State	Cleveland State
20110123	H	4-3	William & Mary	Wisconsin
20110123	N	4-3	North Texas	Oklahoma State
20110123	H	7-0	Yale	Boston University
20110123	A	6-1	Boise State	Colorado
20110123	H	4-3	UNLV	Pacific (CA)
20110123	H	7-0	Wyoming	Northern Colorado
20110123	H	7-0	Arizona	UTEP
20110123	H	7-0	Arizona State	UC Davis
20110123	H	6-1	Oregon	Portland
20110123	A	6-1	Washington	Utah
20110123	H	6-1	Arkansas	Texas A&M
20110123	H	7-0	Missouri	Southeast Missouri
20110123	H	7-0	Missouri	UMKC
20110123	A	4-3	Tennessee	Illinois
20110123	H	6-0	Gonzaga	Seattle
20110125	H	4-0	Clemson	Charleston Southern
20110125	H	5-0	Clemson	Winthrop
20110125	A	7-0	Utah State	Idaho State
20110125	H	7-0	Ole Miss	Southern Miss
20110125	H	6-1	South Carolina	Furman
20110125	A	7-0	Pittsburgh	St. Francis (PA)
20110126	H	6-1	Penn State	Pittsburgh
20110126	H	6-1	Hawaii	San Francisco
20110126	H	6-1	Florida International	Florida Atlantic
