date	where	score	winner	loser
20130925	H	5-2	La Salle	Sciences (Philadelphia)
20130926	A	7-2	Loyola (MD)	Catholic
20130928	H	4-0	La Salle	Jefferson
20131005	N	5-2	Presbyterian	Coker
20131005	N	6-1	Presbyterian	North Greenville
20131012	H	5-4	La Salle	Kutztown
20140111	H	4-0	Florida State	Mercer
20140111	H	4-0	Florida State	North Florida
20140111	A	6-1	Georgia Tech	Georgia Southern
20140111	H	4-0	Georgia Tech	Stetson
20140111	H	7-0	Wake Forest	Coastal Carolina
20140111	H	7-0	Wake Forest	Charlotte
20140111	H	4-1	North Florida	Florida A&M
20140111	H	7-0	Texas	SMU
20140111	H	7-0	Michigan State	Detroit Mercy
20140111	H	6-1	Michigan State	Toledo
20140111	N	4-1	Furman	Mercer
20140111	N	4-3	Furman	South Alabama
20140111	H	4-3	BYU	Utah State
20140111	H	5-2	BYU	Weber State
20140112	H	4-0	Florida State	Furman
20140112	H	5-2	Florida State	South Alabama
20140112	H	7-0	Miami (FL)	Florida Atlantic
20140112	N	4-0	Furman	Florida A&M
20140114	H	6-1	Stanford	Pacific (CA)
20140116	H	7-0	Boise State	Montana State
20140116	H	5-2	Washington	Portland
20140117	H	5-0	VCU	Campbell
20140117	H	1-4	VCU	Georgetown
20140117	H	7-0	Tulsa	Oral Roberts
20140117	H	4-0	Tulsa	Wichita State
20140117	H	7-0	Clemson	Furman
20140117	H	7-0	Notre Dame	William & Mary
20140117	H	7-0	North Carolina	East Carolina
20140117	H	7-0	North Carolina	Wofford
20140117	A	7-0	Texas	Rice
20140117	H	4-3	Hawaii	Sacramento State
20140117	N	4-3	UC Santa Barbara	Portland
20140117	A	4-3	Elon	Duke
20140117	A	4-1	Florida Atlantic	Georgia Southern
20140117	H	4-0	New Mexico	A&M-Corpus Christi
20140117	H	4-1	New Mexico	UC Irvine
20140117	N	4-2	Arizona	UC Irvine
20140117	H	7-0	Oregon	Eastern Washington
20140117	H	7-0	Oregon	Portland State
20140117	A	4-3	Coastal Carolina	UNC Greensboro
20140117	A	6-1	Louisiana	Incarnate Word
20140117	H	6-1	St. Mary's (CA)	Cal Poly
20140118	N	4-1	Richmond	Temple
20140118	H	5-0	VCU	James Madison
20140118	H	5-0	VCU	Richmond
20140118	H	7-0	Florida State	The Citadel
20140118	H	6-1	Florida State	Florida Gulf Coast
20140118	H	7-0	N.C. State	NCCU
20140118	H	7-0	N.C. State	UNC Greensboro
20140118	H	7-0	Wake Forest	Brown
20140118	H	5-2	Wake Forest	ETSU
20140118	H	5-2	Texas Tech	UTSA
20140118	H	6-1	Michigan	Toledo
20140118	H	5-2	Michigan	Western Michigan
20140118	N	4-3	UC Irvine	A&M-Corpus Christi
20140118	H	7-0	Dartmouth	Bryant
20140118	H	7-0	Dartmouth	Villanova
20140118	N	4-3	Fresno State	Cal Poly
20140118	H	4-3	San Diego State	Nevada
20140118	H	5-2	San Diego State	UC Riverside
20140118	H	4-0	New Mexico	Arizona
20140118	H	4-0	New Mexico	A&M-Corpus Christi
20140118	N	6-1	Bryant	Villanova
20140118	N	4-0	Arizona	UC Irvine
20140118	H	6-1	Utah	Weber State
20140118	H	4-3	Washington	UC Santa Barbara
20140118	H	7-0	Alabama	Alabama A&M
20140118	H	4-0	Alabama	Troy
20140118	H	4-1	Alabama	UAB
20140118	H	7-0	Mississippi State	Alabama State
20140118	H	7-0	Mississippi State	Jackson State
20140118	A	5-2	BYU	Navy
20140118	H	4-3	Santa Clara	UC Davis
20140119	N	4-1	SMU	Illinois State
20140119	H	4-1	Tulsa	Drake
20140119	H	6-1	Tulsa	Illinois State
20140119	H	7-0	Tulane	Alcorn State
20140119	H	7-0	Tulane	Jackson State
20140119	H	4-3	Central Florida	Miami (FL)
20140119	H	7-0	Clemson	Gardner-Webb
20140119	H	6-1	Clemson	Presbyterian
20140119	H	7-0	Duke	NCCU
20140119	H	5-2	Notre Dame	Michigan State
20140119	H	7-0	Notre Dame	Toledo
20140119	H	6-1	Virginia Tech	Davidson
20140119	H	7-0	Virginia Tech	Yale
20140119	H	4-1	Oklahoma State	Minnesota
20140119	H	7-0	Texas	Arkansas
20140119	H	1-8	UNC Asheville	Mars Hill
20140119	N	5-2	Nebraska	Florida Gulf Coast
20140119	H	5-2	UNC Wilmington	Appalachian State
20140119	A	4-3	Florida Atlantic	Kennesaw State
20140119	A	4-3	Buffalo	Cornell
20140119	H	4-1	New Mexico	Arizona
20140119	H	5-0	New Mexico	UC Irvine
20140119	H	7-0	Texas A&M	Louisiana
20140119	H	7-0	Texas A&M	UTRGV
20140119	H	7-0	Auburn	Jacksonville State
20140119	H	7-0	Auburn	Mercer
20140119	A	4-3	LSU	Rice
20140119	H	6-0	Vanderbilt	Belmont
20140119	H	7-0	Vanderbilt	Marquette
20140119	N	4-0	ETSU	Brown
20140119	H	4-3	St. Mary's (CA)	Fresno State
20140120	H	5-2	Florida State	Nebraska
20140120	H	6-1	Florida State	Troy
20140120	N	7-0	North Carolina	Howard
20140120	A	5-2	North Carolina	VCU
20140120	H	6-1	Columbia	Monmouth (NJ)
20140120	H	7-0	Columbia	Marist
20140120	H	5-2	Utah State	Idaho State
20140120	H	6-1	Oregon	UC Santa Barbara
20140120	H	5-2	Tennessee	ETSU
20140120	A	4-3	BYU	George Washington
20140120	A	4-3	East Carolina	UNC Asheville
20140120	N	4-3	Florida A&M	Troy
20140121	H	7-0	Oklahoma	Wichita State
20140121	H	4-0	California	San Francisco
20140121	A	5-2	Pepperdine	Washington
20140122	H	7-0	Ohio State	Butler
20140122	H	7-0	Ohio State	Xavier
20140122	H	7-0	UCLA	UC Irvine
20140122	H	7-0	Auburn	Troy
20140122	H	5-2	Florida	North Florida
20140123	H	4-3	Eastern Washington	Seattle
20140123	A	4-3	Wofford	Winthrop
20140124	A	4-3	SMU	Florida Gulf Coast
20140124	H	6-1	South Florida	Florida Atlantic
20140124	N	4-3	Notre Dame	Minnesota
20140124	H	7-0	Virginia	Elon
20140124	H	4-2	Oklahoma State	ETSU
20140124	H	4-0	Rice	Texas Arlington
20140124	N	4-3	Dartmouth	Arkansas
20140124	H	6-1	Air Force	Abilene Christian
20140124	H	5-2	New Mexico	Cal Poly
20140124	H	7-0	Arizona	Northern Arizona
20140124	N	4-2	California	Alabama
20140124	H	4-1	Pepperdine	San Diego
20140124	H	6-1	East Carolina	Longwood
20140125	A	3-4	Duquesne	Toledo
20140125	N	4-3	VCU	N.C. State
20140125	H	6-1	Tulane	Troy
20140125	H	4-1	Duke	Oregon
20140125	H	4-2	Georgia Tech	North Florida
20140125	A	4-3	Notre Dame	Kentucky
20140125	N	4-1	North Carolina	San Diego State
20140125	H	7-0	Virginia	Indiana
20140125	N	4-1	Wake Forest	LSU
20140125	H	4-0	Baylor	Boise State
20140125	H	4-0	Oklahoma State	Dartmouth
20140125	N	4-3	TCU	Florida State
20140125	A	4-0	Texas	Vanderbilt
20140125	N	4-1	Texas Tech	Nebraska
20140125	N	4-3	St. John's (NY)	William & Mary
20140125	A	7-0	Idaho	Eastern Washington
20140125	N	5-2	Idaho	Seattle
20140125	N	4-3	Northern Arizona	UC Riverside
20140125	A	7-0	Presbyterian	The Citadel
