date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20130829	402098	397085	N	   8	Clemson	Tristen Dewar       	ETSU	Lyn Yee Choo        	5-7, 6-3, 1-0 (10-8)
20130829	446794	386241	N	   8	Clemson	Jessy Rompies       	Kennesaw State	Alexandra Apostu    	7-5, 6-0
20130830	441471	409462	N	   8	Houston	Charlotte Phillips  	Texas Arlington	Astrid Gehre        	7-6(3), 6-0
20130906	439980	427228	A	   1	George Washington	Leah Pascarella     	Towson	Nani Lizana         	6-2 6-3
20130906	436171	457778	N	   1	Delaware	Nataliya Naumova    	Indiana (PA)	Tanya Timko         	6-0, 6-0
20130906	448066	446062	N	   1	Delaware	Dorothy Safron      	George Washington	Lana Robins         	6-3 7/6(4)
20130906	446062	406487	A	   2	George Washington	Lana Robins         	Towson	Lorena Ferrer       	6-3 6-2
20130906	433174	431337	N	   2	Delaware	Kimberly Milla      	Indiana (PA)	Abby McCormick      	7-6 (7-2), 6-4
20130906	424455	439980	N	   2	Delaware	Carmen Lai          	George Washington	Leah Pascarella     	6-3 2-6 1-0
20130906	462603	450897	A	   3	George Washington	Stephanie Wei       	Towson	Nisha Shah          	6-3 6-1
20130906	404415	436171	N	   3	George Washington	Grace Egger         	Delaware	Nataliya Naumova    	6-3 6-1
20130906	414671	428989	N	   3	Delaware	Olivia Heim         	Indiana (PA)	Ranvita Mahto       	6-3, 6-3
20130906	404415	393897	A	   4	George Washington	Grace Egger         	Towson	Ariel Burke         	6-1 4-1 ret.
20130906	462603	430182	N	   4	George Washington	Stephanie Wei       	Delaware	Abby Martinez       	6-1 6-1
20130906	430182	464714	N	   4	Delaware	Abby Martinez       	Indiana (PA)	Rachel Wood         	6-4, 6-2
20130906	459439	460506	N	    	Saint Louis	Brooke Urzendowski  	UMSL	Renee Verboven      	3-6, 1-6
20130906	396178	462905	N	    	Saint Louis	Aspen Cervin        	UMSL	Louisa Werner       	1-6, 1-6
20130906	398566	395621	N	    	Saint Louis	Madison Cook        	UMSL	Natalia Carvalhais  	6-3, 5-7, 8-10
20130906	458148	394957	N	    	Saint Louis	Maria Toro Moreno   	UMSL	Leanne Cantalupo    	6-1, 6-1
20130906	398566	403047	N	    	Saint Louis	Madison Cook        	SIUE	Kali Donner         	6-1, 2-6, 10-7
20130906	465197	417729	N	    	Saint Louis	Natalia Yacaman     	SIUE	Haley Ilcewicz      	6-1, 6-0
20130906	408191	463042	N	    	SIUE	Mia Frogner         	Lewis	Jill Wetmore        	6-2, 6-3
20130906	423715	459439	N	    	SIUE	Monique Krutak      	Saint Louis	Brooke Urzendowski  	6-4, 6-0
20130906	408191	458148	N	    	SIUE	Mia Frogner         	Saint Louis	Maria Toro Moreno   	6-1, 4-6, 10-5
20130906	457397	434188	N	    	SIUE	McKenzie Thomas     	Saint Louis	Taylor Monken       	6-4, 7-6
20130906	417729	433474	N	    	SIUE	Haley Ilcewicz      	Lewis	Kendra Mills        	6-1, 6-3
20130906	423715	423427	N	    	SIUE	Monique Krutak      	Lewis	Zsofia Kranczicki   	6-2, 6-2
20130906	413160	419548	N	    	SIUE	Sierra Halverson    	Saint Louis	Madeline Jolly      	4-6, 6-3, 10-5
20130906	386331	396178	N	    	SIUE	Lexi Aranda         	Saint Louis	Aspen Cervin        	6-4, 6-4
20130907	413484	424338	N	   1	George Washington	Allison Hansen      	George Mason	Olivia Lacy-Thompson	6-3 7-6(4)
20130907	413484	431337	N	   1	George Washington	Allison Hansen      	Indiana (PA)	Abby McCormick      	2-6, 6-4, 10-8
20130907	400703	403264	A	   1	St. Joseph's (PA)	Aurora Davis        	Towson	Ayana Dow           	5-7, 6-4, 10-5
20130907	395355	397843	N	   2	George Washington	Christie Carpenter  	George Mason	Jamie Cochrane      	6-3 6-0
20130907	395355	457778	N	   2	George Washington	Christie Carpenter  	Indiana (PA)	Tanya Timko         	6-3, 6-2
20130907	404500	427228	A	   2	St. Joseph's (PA)	Kristina Eisenbrand 	Towson	Nani Lizana         	6-3, 6-4
20130907	436336	449224	N	   3	George Washington	Taylor Nederlander  	George Mason	Mina Saygi          	6-0 6-0
20130907	436336	449681	N	   3	George Washington	Taylor Nederlander  	Indiana (PA)	Erika Schnaas       	6-3, 6-1
20130907	435416	450897	A	   3	St. Joseph's (PA)	Kelly Mulquin       	Towson	Nisha Shah          	1-6, 6-4, 10-7
20130907	418439	433194	N	   4	George Washington	Egle Jakuciunaite   	George Mason	Alex Miller         	6-0 6-0
20130907	418439	394189	N	   4	George Washington	Egle Jakuciunaite   	Indiana (PA)	Sophie Butland      	6-1, 6-3
20130907	426200	433618	H	   4	Towson	Sophie Lesage       	St. Joseph's (PA)	Claire Minnoe       	6-0, 6-3
20130907	458148	463042	N	    	Saint Louis	Maria Toro Moreno   	Lewis	Jill Wetmore        	6-0 6-4
20130907	398566	436869	N	    	Saint Louis	Madison Cook        	Lewis	Megan Nguyen        	7-6 6-0
20130907	396178	424864	N	    	Saint Louis	Aspen Cervin        	Lewis	Zsofia Lanstiak     	6-2 7-6
20130907	416285	433474	N	    	Saint Louis	Stephanie Hollis    	Lewis	Kendra Mills        	6-0 6-1
20130907	413160	414943	N	    	SIUE	Sierra Halverson    	UMSL	Danielle Henkel     	2-6, 6-1, 10-6
20130907	408191	394957	N	    	SIUE	Mia Frogner         	UMSL	Leanne Cantalupo    	6-0, 6-1
20130907	403047	395621	N	    	SIUE	Kali Donner         	UMSL	Natalia Carvalhais  	6-0, 7-5
20130907	417729	397643	N	    	SIUE	Haley Ilcewicz      	UMSL	Caroline Claywell   	6-2, 6-2
20130907	457397	453101	N	    	SIUE	McKenzie Thomas     	UMSL	Selena Smith        	6-1, 6-3
20130907	386331	462905	N	    	SIUE	Lexi Aranda         	UMSL	Louisa Werner       	6-4, 6-2
20130908	413484	431336	N	   1	George Washington	Allison Hansen      	IUPUI	Abby McCormick      	6-2 4-6 1-0
20130908	400703	439980	N	   1	St. Joseph's (PA)	Aurora Davis        	George Washington	Leah Pascarella     	6-3, 7-6 (3)
20130908	403264	431337	A	   1	Towson	Ayana Dow           	Indiana (PA)	Abby McCormick      	6-3, 6-2
20130908	395355	457777	N	   2	George Washington	Christie Carpenter  	IUPUI	Tanya Timko         	6-3 6-2
20130908	404500	462603	N	   2	St. Joseph's (PA)	Kristina Eisenbrand 	George Washington	Stephanie Wei       	6-2, 7-5
20130908	436336	449680	N	   3	George Washington	Taylor Nederlander  	IUPUI	Erika Schnaas       	6-1 6-2
20130908	436336	418351	N	   3	George Washington	Taylor Nederlander  	St. Joseph's (PA)	Devi Jadeja         	6-3, 6-0
