date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20150904	384314	446984	N	   8	Bucknell	Bryan Adams         	Colgate	Noah Rosenblat      	6-4, 6-1
20150904	396321	461394	N	  16	Fairleigh Dickinson	Adam Chan           	Hofstra	Niko Vulinovich     	6-4, 6-3
20150904	434661	396447	N	  64	Marist	Carlos Moreno       	Sacred Heart	Derek Chapman       	6-2 6-2
20150905	431494	479686	N	   8	Bucknell	Maxwell McDonald    	Loyola (MD)	Jack Shortell       	6-1, 6-2
20150905	409619	410054	N	   8	Bucknell	Ben Gerber          	Concordia (NY)	Ofir Ginat          	4-6, 6-4, 10-8
20150905	464954	401993	N	   8	Bucknell	Dan Wright          	Mount St. Mary's (MD)	Mateo DeSomocurcio  	6-2, 3-6, 11-9
20150905	420432	390694	N	   8	Bucknell	Max Kane            	Mount St. Mary's (MD)	Austin Blake        	6-2, 6-4
20150905	422944	460998	N	   8	Colgate	Dean Komen          	Bucknell	Andrei Vitiuc       	3-6, 7-6, 13-11
20150905	473777	405165	N	   8	Loyola (MD)	Blest Jones         	Bucknell	Timber Erskine      	7-5, 2-6, 10-8
20150905	420432	468811	N	  16	Bucknell	Max Kane            	Loyola (MD)	Reid Burch          	6-2, 6-3
20150905	409619	469206	N	  16	Bucknell	Ben Gerber          	Loyola (MD)	Alex Castro         	6-3, 6-2
20150905	431494	464909	N	  16	Bucknell	Maxwell McDonald    	Mount St. Mary's (MD)	Brandon Wortkotter  	6-3, 6-4
20150905	405165	415841	N	  16	Bucknell	Timber Erskine      	Colgate	Jake Hirschberg     	4-6, 6-4, 11-9
20150905	464954	405478	N	  16	Bucknell	Dan Wright          	Concordia (NY)	Alessandro Evangelisti	6-3, 6-4
20150905	460998	432064	N	  16	Bucknell	Andrei Vitiuc       	Mount St. Mary's (MD)	Sean McNulty        	6-4, 6-1
20150906	433679	395636	N	   2	Villanova	Luis Miranda        	Fairleigh Dickinson	Pedro Carvalho      	8-6
20150906	431494	448313	N	   2	Bucknell	Maxwell McDonald    	Mount St. Mary's (MD)	Peter Salomon       	6-3, 7-6
20150906	450516	396321	N	   4	Villanova	Chris Seitz         	Fairleigh Dickinson	Adam Chan           	6-7 (4), 6-1, 10-8
20150906	385326	391901	N	   4	Villanova	Gary Aloian         	Fairleigh Dickinson	William Bourne      	7-6 (8), 6-4
20150906	464954	434239	N	   4	Bucknell	Dan Wright          	Concordia (NY)	Lorenzo Montegiorgi 	7-5, 0-6, 10-8
20150906	431494	412910	N	   4	Bucknell	Maxwell McDonald    	Colgate	Tom Haile           	2-6, 6-2, 10-8
20150906	409619	473777	N	   4	Bucknell	Ben Gerber          	Loyola (MD)	Blest Jones         	6-2, 6-3
20150906	391901	402070	N	   8	Fairleigh Dickinson	William Bourne      	Hofstra	Kevin Devine        	6-2, 6-0
20150906	443544	433679	N	   8	Fairleigh Dickinson	Gonzalo Quintana    	Villanova	Luis Miranda        	6-1, 6-0
20150906	411092	429401	N	  16	Villanova	Sean Gorwara        	Fairleigh Dickinson	Kiran Mani          	6-0, 6-4
20150906	409112	402037	N	  16	Fairleigh Dickinson	Diogo Garnel        	RPI	Sundar Devakottai   	6-1, 6-2
20150906	443544	388757	N	  16	Fairleigh Dickinson	Gonzalo Quintana    	RPI	Stephen Baxter      	6-1, 6-0
20150906	395636	384749	N	    	Fairleigh Dickinson	Pedro Carvalho      	Hofstra	Gustav Akesson      	9-7
20150906	395636	386195	N	    	Fairleigh Dickinson	Pedro Carvalho      	Hamilton	Ian Antonoff        	8-5
20150909	390694	400747	H	   1	Mount St. Mary's (MD)	Austin Blake        	Shepherd	Grant Davis         	6-0, 6-3
20150909	401993	463105	H	   2	Mount St. Mary's (MD)	Mateo DeSomocurcio  	Shepherd	Will Wheatley       	6-0, 6-1
20150909	458091	457327	H	   3	Mount St. Mary's (MD)	Louis Tonon         	Shepherd	Austin Thomas       	6-2, 6-1
20150909	430533	396483	H	   4	Mount St. Mary's (MD)	Darren Mast         	Shepherd	Lewis Charette      	6-1, 6-0
20150909	448313	452766	H	   5	Mount St. Mary's (MD)	Peter Salomon       	Shepherd	Clayton Smith       	6-0, 6-0
20150909	424716	401757	H	   6	Mount St. Mary's (MD)	Peter Landis        	Shepherd	Shane Dempsey       	6-0, 6-1
20150911	418709	405366	N	   2	Georgia State	Felipe Jaworski     	Tennessee Tech	Alberto Esteban     	6-3, 6-3
20150911	448677	439711	A	   3	Wagner	Dale Sandy          	St. Peter's	Jonathan Paredes    	6-3 6-0
20150911	417312	390803	N	   4	Elon	Chris Humphreys     	UNC Greensboro	Logan Blaser        	6-3, 6-2
20150911	392045	446633	A	   4	Wagner	Charlton Boyd       	St. Peter's	Sebastian Rojas     	6-3 6-4
20150911	422543	437597	A	   5	Wagner	Ilya Kneppelhent    	St. Peter's	Douglas Nover       	6-1 6-1
20150911	461918	447738	A	   6	Wagner	Allen Wang          	St. Peter's	Gabriel Russotto    	6-1 6-0
20150911	460021	399200	N	   8	Mercer	Ruben Vanoppen      	Covenant	Chris Cox           	6-1 6-2
20150911	390135	440418	N	   8	A&M-Corpus Christi	Kevin Bettendroffer 	UTSA	Harley Pearson      	7-6 (8-3), 6-2
20150911	418709	403890	N	   8	Georgia State	Felipe Jaworski     	Kennesaw State	David Durham        	7-6, 6-2
20150911	428600	421382	N	   8	Georgia State	Jack Macfarlane     	Georgia State	Zackery Kennedy     	6-2, 6-3
20150911	435451	444295	N	   8	Texas Arlington	Mario Muniesa       	A&M-Corpus Christi	Guillaume Rauseo    	6-3, 7-6(3), 10-6
20150911	410070	389034	N	  16	UTSA	Mark Ginting        	A&M-Corpus Christi	Arthur Bedel        	w/o
20150911	440418	419975	N	  16	UTSA	Harley Pearson      	UTRGV	Cosme Jubera        	6-2, 5-7, 6-3
20150911	394754	437061	N	  16	Illinois - Chicago	Nate Campanile      	Belmont	Caio Niel           	6-1, 6-3
20150911	400596	436997	N	  16	Northern Illinois	Kevin Daun          	Belmont	Toby Nicholson      	6-7(4), 6-1, (10-3)
20150911	427395	407428	N	  16	Western Michigan	Daniel Loebel       	Northern Illinois	Simon Formont       	6-4, 6-4
20150911	411730	447722	N	  16	Western Michigan	Ruben Greiner       	Belmont	Bruno Russo         	6-2, 3-6, 10-0
20150911	403681	414590	N	  16	Belmont	Cedric Dujacquier   	Illinois - Chicago	Carl Hedstrom       	6-2, 6-1
20150911	401689	423172	N	  16	Belmont	Robin Demasse       	Detroit Mercy	Patryk Koscielski   	7-5, 7-5
