---
gamesThru: May 2, 2021
listname: College Tennis Men
division: ctm2021
listdate: 2021-05-03
downloaded: 2021-05-12T13:38:44.206Z
teams: 625
---
rank	name	wins	losses	change	rating	pwrRnk	pwr	hfa	sosRnk	sos	masseyId	r2Id	groupId	group
  1	Florida         	20	 2	    	 9.399	  1	 5.231	0.21	  3	 3.940	  2625		11590	NCAA D1
  2	Tennessee       	24	 3	    	 9.172	  2	 5.036	0.20	  7	 3.816	  7801		11590	NCAA D1
  3	Virginia        	21	 2	    	 9.126	  3	 4.912	0.21	  9	 3.777	  8432		11590	NCAA D1
  4	North Carolina  	19	 3	    	 8.939	  6	 4.761	0.15	  6	 3.830	  5492		11590	NCAA D1
  5	Baylor          	27	 4	   1	 8.817	  9	 4.624	0.12	 47	 3.207	   557		11590	NCAA D1
  6	TCU             	16	 7	  -1	 8.759	  5	 4.775	0.20	  1	 4.181	  7878		11590	NCAA D1
  7	UCF             	21	 3	   2	 8.634	  8	 4.656	0.18	 25	 3.428	  1380		11590	NCAA D1
  8	USC             	20	 6	   2	 8.620	  4	 4.799	0.22	 16	 3.589	  8251		11590	NCAA D1
  9	Illinois        	21	 2	   4	 8.599	 12	 4.406	0.18	 33	 3.314	  3425		11590	NCAA D1
 10	Ohio St         	20	 3	  -3	 8.595	  7	 4.671	0.17	 56	 3.034	  5850		11590	NCAA D1
 11	Texas           	20	 5	  -3	 8.537	 13	 4.400	0.19	 11	 3.734	  7840		11590	NCAA D1
 12	Texas A&M       	16	 8	  -1	 8.527	 10	 4.611	0.21	  4	 3.923	  7848		11590	NCAA D1
 13	Wake Forest     	28	 6	  -1	 8.428	 11	 4.449	0.15	 54	 3.107	  8508		11590	NCAA D1
 14	Michigan        	15	 4	   1	 8.222	 14	 4.338	0.18	 49	 3.175	  4741		11590	NCAA D1
 15	Georgia         	14	 6	  -1	 8.183	 16	 4.256	0.20	 13	 3.674	  2881		11590	NCAA D1
 16	South Carolina  	15	 9	    	 8.130	 18	 4.219	0.20	  5	 3.857	  7242		11590	NCAA D1
 17	Kentucky        	17	 7	    	 8.116	 17	 4.244	0.20	 30	 3.355	  3781		11590	NCAA D1
 18	Arizona         	18	 7	    	 8.098	 15	 4.266	0.23	 31	 3.332	   294		11590	NCAA D1
 19	UCLA            	13	 6	    	 8.032	 19	 4.217	0.22	 22	 3.481	  8141		11590	NCAA D1
 20	Stanford        	10	 5	    	 7.970	 20	 4.082	0.20	 19	 3.537	  7582		11590	NCAA D1
