---
gamesThru: May 10, 2021
listname: College Tennis Men Singles
division: ctms2021
listdate: 2021-05-10
downloaded: 2021-05-12T18:01:32.377Z
player: 5011
---
rank	name	wins	losses	change	rating	pwrRnk	pwr	hfa	sosRnk	sos	masseyId	r2Id	groupId	group
   1	Aleksandar Kovacevic            	11	 1	     	 9.269	   1	 4.682	 0.13	  13	 3.155	332963	423252	  3425	Illinois
   2	Cannon Kingsley                 	27	 0	     	 9.071	   9	 4.030	 0.03	 184	 2.504	331917	511704	  5850	Ohio St
   3	Carl Söderlund                  	12	 2	    1	 8.995	   2	 4.395	 0.12	  12	 3.205	331762	453365	  8432	Virginia
   4	Liam Draxl                      	21	 2	    3	 8.904	   8	 4.052	 0.10	  93	 2.760	332018	511968	  3781	Kentucky
   5	Blaise Bicknell                 	28	 0	    1	 8.891	  21	 3.832	 0.13	 196	 2.475	331249	509770	  2625	Florida
   6	Keegan Smith                    	13	 2	   -1	 8.889	   4	 4.272	 0.14	  38	 2.982	331995	452926	  8141	UCLA
   7	Daniel Rodrigues                	26	 6	    2	 8.856	   3	 4.297	 0.13	  10	 3.214	331280	485261	  7242	South Carolina
   8	Rinky Hijikata                  	12	 1	   -5	 8.854	  13	 4.000	 0.08	  67	 2.842	331646	514358	  5492	North Carolina
   9	Valentin Vacherot               	22	 5	   -1	 8.846	   5	 4.264	 0.11	   9	 3.247	331204	459505	  7848	Texas A&M
  10	Gabriel Decamps                 	17	 2	     	 8.787	  11	 4.014	 0.12	  54	 2.908	332283	401237	  1380	UCF
  11	Matias Soto                     	17	 4	    1	 8.719	  10	 4.018	 0.06	  22	 3.071	331415	453651	   557	Baylor
  12	Daniel Cukierman                	16	 5	   -1	 8.680	   6	 4.136	 0.14	  19	 3.099	332055	399776	  8251	USC
  13	Hady Habib                      	17	 5	    2	 8.623	   7	 4.097	 0.17	  14	 3.145	331179	412687	  7848	Texas A&M
  14	Duarte Vale                     	24	 6	   -1	 8.621	  12	 4.000	 0.19	  23	 3.051	331243	459591	  2625	Florida
  15	Johannus Monday                 	31	 6	   -1	 8.593	  14	 3.992	 0.10	  74	 2.821	331264	527971	  7801	Tennessee
  16	Joshua Goodger                  	20	 0	    2	 8.585	  38	 3.658	 0.14	 406	 2.072	331250	511775	  2625	Florida
  17	Luc Fomba                       	21	 8	   -1	 8.542	  16	 3.944	 0.09	   7	 3.255	331394	489297	  7878	TCU
  18	Gustaf Strom                    	18	 3	   -1	 8.539	  35	 3.686	 0.10	  61	 2.881	331855	564319	   294	Arizona
  19	Henri Squire                    	17	 6	    3	 8.534	  17	 3.933	 0.13	  28	 3.021	332467	521020	  8508	Wake Forest
  20	Sam Riffice                     	24	 7	    3	 8.519	  15	 3.958	 0.14	  33	 3.002	331244	488586	  2625	Florida
  21	John McNally                    	21	 6	    3	 8.489	  20	 3.864	 0.09	  37	 2.983	332000	432019	  5850	Ohio St
  22	Eduardo Nava                    	17	 3	   -2	 8.485	  23	 3.808	 0.05	 111	 2.723	332049	436186	  8508	Wake Forest
  23	William Blumberg                	10	 3	    3	 8.474	  24	 3.806	 0.09	  47	 2.932	331520	390976	  5492	North Carolina
  24	Axel Nefve                      	18	 4	   -3	 8.472	  19	 3.865	 0.15	  96	 2.747	331831	487492	  5749	Notre Dame
  25	Siphosothando Montsi            	16	 3	    4	 8.465	  26	 3.788	 0.12	 101	 2.744	332965	485650	  3425	Illinois
  26	Inaki Montes De La Torre        	17	 4	   -7	 8.464	  22	 3.828	 0.13	  70	 2.838	331768	564150	  8432	Virginia
  27	Alastair Gray                   	15	 7	    8	 8.439	  25	 3.804	 0.12	   6	 3.286	331793	411457	  7878	TCU
  28	Zeke Clark                      	20	 2	   -3	 8.434	  43	 3.619	 0.12	 209	 2.444	332966	397557	  3425	Illinois
  29	Micah Braswell                  	33	 6	    2	 8.426	  37	 3.669	 0.05	  87	 2.770	330883	528270	  7840	Texas
  30	Andy Andrade                    	24	 7	    6	 8.413	  18	 3.886	 0.12	  45	 2.941	331242	385909	  2625	Florida
  31	Giles Hussey                    	29	 4	    2	 8.402	  30	 3.748	 0.12	 202	 2.460	331287	513101	  7801	Tennessee
  32	Adrian Boitan                   	17	 5	     	 8.400	  28	 3.751	 0.12	  50	 2.922	331562	497587	   557	Baylor
  33	Stefan Dostanic                 	19	 3	    6	 8.386	  33	 3.699	 0.15	 171	 2.539	332039	510835	  8251	USC
