---
gamesThru: May 10, 2021
listname: College Tennis Women Singles
division: ctws2021
listdate: 2021-05-10
downloaded: 2021-05-12T18:02:26.423Z
player: 5351
---
rank	name	wins	losses	change	rating	pwrRnk	pwr	hfa	sosRnk	sos	masseyId	r2Id	groupId	group
   1	Alexa Noel                       	23	 0	     	 9.448	   1	 5.063	 0.07	  25	 3.430	337750	564451	  3540	Iowa
   2	Sara Daavettila                  	16	 1	     	 9.137	   2	 4.942	 0.10	  18	 3.493	337265	400079	  5492	North Carolina
   3	Abigail Forbes                   	19	 2	    3	 8.950	   3	 4.942	 0.10	  13	 3.522	337617	512054	  8141	UCLA
   4	Emma Navarro                     	19	 1	   -1	 8.920	   5	 4.609	 0.09	  41	 3.311	337529	564450	  8432	Virginia
   5	Estela Perez-Somarriba           	19	 2	     	 8.919	   4	 4.772	 0.08	  29	 3.411	337439	440887	  4719	Miami FL
   6	Katarina Jokic                   	25	 1	   -2	 8.914	   6	 4.593	 0.06	  59	 3.182	336778	419539	  2881	Georgia
   7	Fiona Crawley                    	27	 0	     	 8.665	  24	 4.167	 0.08	 245	 2.597	337044	564453	  5492	North Carolina
   8	Charlotte Chavatipon             	25	 1	    3	 8.611	  13	 4.323	 0.06	 129	 2.902	336664	562071	  7840	Texas
   9	McCartney Kessler                	17	 2	   -1	 8.570	   8	 4.412	 0.06	  74	 3.113	336945	421536	  2625	Florida
  10	Ayana Akli                       	15	 3	     	 8.537	   7	 4.416	 0.13	  24	 3.452	338332	514025	  4474	Maryland
  11	Alexa Graham                     	12	 2	    2	 8.458	  14	 4.297	 0.06	  82	 3.073	337263	411298	  5492	North Carolina
  12	Angela Kulikov                   	 1	 0	    3	 8.451	  17	 4.252	 0.08	   1	 3.808	339012	423901	  8251	USC
  13	Meg Kowalski                     	22	 2	   -4	 8.425	  19	 4.246	 0.06	 104	 2.986	336782	487384	  2881	Georgia
  14	Katarina Kozarov                 	23	 1	    7	 8.388	  32	 4.076	 0.06	 222	 2.652	337200	423350	  2800	Furman
  15	Irina Cantos Siemers             	19	 6	   -3	 8.352	  21	 4.206	 0.05	  14	 3.509	337123	511553	  5850	Ohio St
  16	Makenna Jones                    	15	 2	    3	 8.348	  18	 4.250	 0.09	 106	 2.985	337045	419691	  5492	North Carolina
  17	Anna Rogers                      	19	 7	   -3	 8.339	  12	 4.326	 0.07	   9	 3.551	337001	446522	  5511	NC State
  18	Elise Van Heuvelen               	19	 4	   -2	 8.336	  11	 4.336	 0.10	  45	 3.268	337772	459837	  3540	Iowa
  19	Layne Sleeth                     	 9	 1	   -1	 8.336	  15	 4.282	 0.08	 121	 2.938	337810	511900	  2625	Florida
  20	Kari Miller                      	16	 4	   -3	 8.315	   9	 4.352	 0.08	  52	 3.223	337091	564380	  4741	Michigan
  21	Lulu Sun                         	19	 2	   -1	 8.307	  25	 4.164	 0.05	 145	 2.836	337206	562075	  7840	Texas
  22	Georgia Drummy                   	18	 4	    1	 8.297	  10	 4.347	 0.03	  63	 3.169	336987	564359	  2265	Duke
  23	Natasha Subhash                  	16	 5	    2	 8.274	  20	 4.233	 0.06	  38	 3.346	337047	511574	  8432	Virginia
  24	Valeriya Zeleva                  	12	 2	   -2	 8.257	  27	 4.151	 0.11	  70	 3.125	337581	497367	  1380	UCF
  25	Reilly Tran                      	17	 0	   -1	 8.240	  48	 3.887	 0.07	 405	 2.243	337046	564465	  5492	North Carolina
  26	Dana Guzman                      	18	 2	    7	 8.238	  35	 4.071	 0.08	 161	 2.789	337158	564055	  5886	Oklahoma
  27	Kylie Collins                    	17	 2	     	 8.233	  26	 4.157	 0.08	 152	 2.812	337208	564774	  7840	Texas
  28	Peyton Stearns                   	14	 6	   -2	 8.223	  16	 4.260	 0.08	  22	 3.459	336655	562074	  7840	Texas
  29	Jada Hart                        	11	 2	   -1	 8.221	  28	 4.140	 0.12	 108	 2.983	338608	413959	  8141	UCLA
  30	Meible Chi                       	22	 3	     	 8.190	  36	 4.025	 0.10	 150	 2.823	336994	396854	  2265	Duke
  31	Ashley Lahey                     	11	 4	    3	 8.183	  23	 4.178	 0.05	  40	 3.321	337681	424436	  6161	Pepperdine
  32	Anna Turati                      	17	 3	   -1	 8.172	  31	 4.120	 0.09	 148	 2.832	337207	459000	  7840	Texas
  33	Chloe Beck                       	18	 4	    3	 8.158	  22	 4.197	 0.11	 117	 2.957	336991	514741	  2265	Duke
  34	Csilla Fodor                     	13	 4	   -5	 8.127	  30	 4.131	 0.10	  58	 3.183	337769	511586	  6393	Purdue
  35	Kenya Jones                      	19	 8	   -3	 8.123	  41	 3.970	 0.16	  16	 3.500	337134	419665	  2911	Georgia Tech
  36	Mariia Kozyreva                  	11	 1	    1	 8.122	  38	 3.992	 0.06	 225	 2.636	337311	423367	  6853	St Mary's CA
