---
gamesThru: May 16, 2021
listname: College Tennis Women
division: ctw2021
listdate: 2021-05-17
downloaded: 2021-05-19T00:05:19.339Z
teams: 723
---
rank	name	wins	losses	change	rating	pwrRnk	pwr	hfa	sosRnk	sos	masseyId	r2Id	groupId	group
  1	North Carolina    	29	 0	   	 9.786	  1	 6.120	0.14	 17	 4.119	  5492		11590	NCAA D1
  2	Texas             	28	 1	   	 9.413	  2	 5.966	0.16	 16	 4.129	  7840		11590	NCAA D1
  3	Georgia           	23	 1	   	 9.194	  3	 5.830	0.09	 15	 4.130	  2881		11590	NCAA D1
  4	UCLA              	22	 4	   	 8.914	  4	 5.816	0.20	  1	 4.392	  8141		11590	NCAA D1
  5	Pepperdine        	23	 3	   	 8.783	  5	 5.446	0.15	 20	 4.086	  6161		11590	NCAA D1
  6	NC State          	19	 5	   	 8.367	  6	 5.308	0.16	 12	 4.186	  5511		11590	NCAA D1
  7	Virginia          	16	 7	   	 8.215	  8	 5.124	0.18	  4	 4.312	  8432		11590	NCAA D1
  8	Duke              	18	 6	  3	 8.215	  7	 5.164	0.17	 10	 4.209	  2265		11590	NCAA D1
  9	Florida St        	19	 5	   	 8.169	 11	 4.990	0.17	 11	 4.189	  2666		11590	NCAA D1
 10	Ohio St           	23	 4	 -2	 8.100	 12	 4.949	0.15	 40	 3.801	  5850		11590	NCAA D1
 11	UCF               	20	 5	 -1	 8.041	 13	 4.907	0.18	 27	 3.954	  1380		11590	NCAA D1
 12	Baylor            	23	 5	   	 8.029	 16	 4.811	0.18	 26	 3.962	   557		11590	NCAA D1
 13	Stanford          	15	 5	  2	 8.011	 10	 5.001	0.16	 31	 3.912	  7582		11590	NCAA D1
 14	California        	19	 7	   	 8.009	 15	 4.828	0.18	  7	 4.258	  1098		11590	NCAA D1
 15	Oklahoma          	15	 7	 -2	 7.988	  9	 5.048	0.19	 18	 4.106	  5886		11590	NCAA D1
 16	Michigan          	19	 4	   	 7.897	 18	 4.731	0.16	 37	 3.850	  4741		11590	NCAA D1
 17	Miami FL          	15	 9	   	 7.812	 14	 4.856	0.19	  5	 4.304	  4719		11590	NCAA D1
 18	Georgia Tech      	20	11	   	 7.787	 20	 4.685	0.15	  2	 4.334	  2911		11590	NCAA D1
 19	Texas A&M         	21	 8	  4	 7.711	 22	 4.634	0.19	 35	 3.878	  7848		11590	NCAA D1
 20	Arizona St        	15	 9	  4	 7.708	 17	 4.792	0.17	 25	 4.002	   304		11590	NCAA D1
 21	Tennessee         	16	 9	 -2	 7.700	 19	 4.723	0.21	 13	 4.168	  7801		11590	NCAA D1
 22	Northwestern      	19	 6	 -2	 7.639	 23	 4.592	0.15	 30	 3.914	  5704		11590	NCAA D1
 23	LSU               	15	 6	 -1	 7.616	 25	 4.562	0.15	 32	 3.892	  4206		11590	NCAA D1
 24	USC               	13	11	  2	 7.609	 21	 4.665	0.16	  3	 4.318	  8251		11590	NCAA D1
 25	Florida           	13	 8	 -4	 7.550	 24	 4.570	0.16	 23	 4.047	  2625		11590	NCAA D1
 26	Texas Tech        	16	 9	  2	 7.464	 26	 4.542	0.18	 29	 3.941	  7918		11590	NCAA D1
 27	Auburn            	14	 9	 -2	 7.403	 27	 4.474	0.17	 19	 4.097	   402		11590	NCAA D1
 28	Old Dominion      	13	 5	  1	 7.356	 30	 4.317	0.15	 39	 3.815	  5925		11590	NCAA D1
 29	Vanderbilt        	14	10	  2	 7.280	 28	 4.425	0.17	 36	 3.852	  8367		11590	NCAA D1
 30	South Carolina    	12	12	 -3	 7.255	 29	 4.375	0.14	  8	 4.248	  7242		11590	NCAA D1
 31	San Diego         	15	 5	  1	 7.216	 31	 4.299	0.17	 74	 3.189	  8241		11590	NCAA D1
 32	Kentucky          	16	 9	  1	 7.205	 34	 4.245	0.18	 43	 3.758	  3781		11590	NCAA D1
 33	Wake Forest       	12	13	  1	 7.201	 32	 4.285	0.16	  6	 4.272	  8508		11590	NCAA D1
 34	Mississippi       	11	10	 -4	 7.184	 33	 4.280	0.12	 21	 4.053	  4920		11590	NCAA D1
 35	Furman            	21	 7	   	 7.008	 35	 4.122	0.13	 77	 3.077	  2800		11590	NCAA D1
