line	region	regSeed	seed	confChamp	conference	team	wins	losses	itaRank	trnRank	slamRank	masseyRank	utrRank	eloRank	glickoRank	rpiRank	ustaRank	coachRank	r2Id	trnId	utrId	masseyId	teamCode	division
	UNC			*	ACC	North Carolina	26	0	1	1	1	1	2	2	2	2	1	1	383121	819	966	5492	UNC	NCAAW
	TEX			*	Big 12	Texas	25	1	2	2	2	2	1	1	1	1	2	2	383787	839	930	7840	TEX	NCAAW
	UGA			*	SEC	Georgia	20	1	3	3	3	3	5	3	3	3	3	3	383687	1037	916	2881	UGA	NCAAW
	UCLA				Pac-12	UCLA	19	4	4	7	4	4	4	5	6	4	4	5	383557	1035	926	8141	UCLA	NCAAW
	PEPP			*	WCC	Pepperdine	20	3	5	6	6	5	3	4	4	5	5	4	383211	1099	950	6161	PEPP	NCAAW
	BAY				Big 12	Baylor	23	4	8	4	7	12	8	6	5	8	8	8	382165	847	924	557	BAY	NCAAW
	OSU			*	Big Ten	Ohio State	21	3	18	5	5	8	24	8	9	20	6	13	383167	888	920	5850	OSU	NCAAW
	NCST				ACC	N.C. State	16	5	6	10	11	6	9	21	15	12	11	6	383125	823	1095	5511	NCST	NCAAW
	FSU				ACC	Florida State	16	5	7	9	10	9	10	26	13	11	12	7	382663	827	940	2666	FSU	NCAAW
	UVA				ACC	Virginia	14	6	14	11	9	7	12	30	19	15	10	T11	383801	826	918	8432	UVA	NCAAW
	UCF			*	AAC	Central Florida	18	4	9	12	12	10	15	7	10	6	9	9	383672	829	1180	1380	UCF	NCAAW
	MICH				Big Ten	Michigan	17	3	19	8	8	16	19	15	16	26	7	18	383714	887	952	4741	MICH	NCAAW
	DUKE				ACC	Duke	15	6	17	15	14	11	13	47	28	19	14	20	382583	818	867	2265	DUKE	NCAAW
	A&M				SEC	Texas A&M	19	7	10	14	15	23	22	12	8	16	17	10	383490	846	934	7848	A&M	NCAAW
	CAL			*	Pac-12	California	17	6	16	17	17	14	17	9	7	7	13	17	382292	1032	948	1098	CAL	NCAAW
	FLA				SEC	Florida	12	7	11	20	16	21	11	23	14	24	20	15	383684	1042	938	2625	FLA	NCAAW
	GT				ACC	Georgia Tech	18	10	13	16	20	18	27	35	25	22	15	T11	382720	822	956	2911	GT	NCAAW
	OKLA				Big 12	Oklahoma	15	6	23	22	13	13	14	13	11	10	22	24	383743	849	922	5886	OKLA	NCAAW
	NW				Big Ten	Northwestern	18	5	21	13	18	20	34	54	46	27	16	19	383149	879	1207	5704	NW	NCAAW
	LSU				SEC	LSU	14	5	12	18	21	22	25	34	17	17	23	14	382958	1044	2945	4206	LSU	NCAAW
				*	ASUN	North Florida	17	7	63	61	59	57	59	45	57	38			383732	1279	1164	5558	UNF	NCAAW
				*	A-10	VCU	14	9	68	77	78	68	88	57	73	36			383835	901	1014	8443	VCU	NCAAW
				*	Big East	Xavier	17	3	93	88	92	87	91	29	49	47			383944	807	1010	9170	XAV	NCAAW
				*	Big Sky	Northern Arizona	14	4	91	108	98	90	133	59	84	128			383138	867	1060	5620	NAU	NCAAW
				*	Big South	Charleston Southern	10	7	118	136	148	149	148	111	156	153			382366	874	1721	1457	CHSO	NCAAW
				*	Big West	UC Santa Barbara	13	3	48	42	40	45	72	14	22	37			383552	894	1307	8127	UCSB	NCAAW
				*	CAA	James Madison	14	3	58	63	63	56	73	25	53	18			382857	909	1100	3611	JMU	NCAAW
