date	where	score	winner	loser
2021-08-25	A	7-0	Marian University - IN	Huntington University
2021-08-25	N	4-0	Marian University - IN	Spring Arbor University
2021-08-25	A	6-1	Spring Arbor University	Huntington University
2021-08-28	H	8-1	Central College	Monmouth College
2021-08-28	N	7-0	Grace College & Seminary	Bethel College - IN
2021-08-28	N	9-0	Greenville College	Cornell College
2021-08-28	N	3-6	Illinois Institute of Technology	Central College
2021-08-28	N	7-0	Indiana Wesleyan University	Goshen College
2021-08-28	A	7-0	Indiana Wesleyan University	University of Saint Francis - IN
2021-08-28	H	9-0	Millikin University	Greenville College
2021-08-28	H	9-0	Millikin University	University of Dubuque
2021-08-28	H	6-1	Mount Vernon Nazarene University	Bethel College - IN
2021-08-28	H	9-0	North Central College	Central College
2021-08-28	H	9-0	North Central College	Central College
2021-08-28	H	6-3	North Central College	Purdue University Northwest
2021-08-28	A	9-0	Purdue University Northwest	Illinois Institute of Technology
2021-08-28	N	5-4	University of Dubuque	Cornell College
2021-09-01	H	8-1	Concordia University Wisconsin	Carroll University - Wisconsin
2021-09-01	H	9-0	Ripon College	Lakeland College
2021-09-01	A	7-2	State Univ. of New York College at Geneseo	Nazareth College of Rochester
2021-09-01	H	5-4	University of Pittsburgh at Greensburg	Franciscan University of Steubenville
2021-09-01	H	9-0	University of Wisconsin-La Crosse	Lawrence University
2021-09-01	H	8-1	University of Wisconsin-Stevens Point	St. Norbert College
2021-09-01	H	4-3	University of Wisconsin-Whitewater	Cardinal Stritch University
2021-09-01	H	8-1	University of Wisconsin-Whitewater	Edgewood College
2021-09-01	H	9-0	University of Wisconsin-Whitewater	Illinois Institute of Technology
2021-09-01	H	9-0	Wartburg College	University of Dubuque
2021-09-02	H	7-0	Indiana Wesleyan University	Holy Cross College (Indiana)
2021-09-02	H	4-0	Indiana Wesleyan University	Holy Cross College (Indiana)
2021-09-02	N	4-1	Lawrence Technological University	Huntington University
2021-09-03	A	5-4	Bridgewater State College	Regis College - Massachusetts
2021-09-03	H	9-0	Colby-Sawyer College	Castleton State College
2021-09-03	H	6-3	Grove City College	Houghton College
2021-09-03	N	4-0	Holy Cross College (Indiana)	Goshen College
2021-09-03	H	4-0	Indiana Wesleyan University	Lawrence Technological University
2021-09-03	H	4-0	Indiana Wesleyan University	Olivet Nazarene University
2021-09-03	A	8-1	Iowa Central Community College	Buena Vista University
2021-09-03	N	4-2	Lawrence Technological University	Holy Cross College (Indiana)
2021-09-03	H	7-0	Oakland City University	Illinois College
2021-09-03	H	9-0	Oakland City University	Illinois College
2021-09-03	A	4-2	Olivet Nazarene University	Huntington University
2021-09-03	A	9-0	Roger Williams University	Simmons University
2021-09-03	A	9-0	State Univ. of New York at New Paltz	State Univ. of New York College at Cortland
2021-09-03	H	7-2	State Univ. of New York College at Brockport	St. John Fisher College
2021-09-03	A	7-2	State Univ. of New York College at Plattsburgh	SUNY at Oswego
2021-09-03	H	9-0	SUNY Oneonta	Alfred University
2021-09-03	H	9-0	SUNY Oneonta	Hartwick College
2021-09-03	H	9-0	University of Wisconsin-Stevens Point	Milwaukee School of Engineering
2021-09-03	H	9-0	University of Wisconsin-Whitewater	University of Wisconsin-Oshkosh
2021-09-03	H	8-1	Wheaton College - IL	Edgewood College
2021-09-04	H	5-2	Adelphi University	Thomas Jefferson University
2021-09-04	H	7-2	Allegheny College	Washington & Jefferson College
2021-09-04	A	5-1	Anderson University - IN	Kentucky Wesleyan College
2021-09-04	H	9-0	Bemidji State University	University of Wisconsin-River Falls
2021-09-04	N	9-0	Carroll University - Wisconsin	McHenry County College
2021-09-04	A	5-4	Central College	Coe College
2021-09-04	H	6-3	Coe College	Simpson College - IA
2021-09-04	N	9-0	Concordia University Wisconsin	Alverno College
2021-09-04	A	8-1	Cornell College	Buena Vista University
2021-09-04	A	8-1	CUNY: Hunter College	Western Connecticut State University
2021-09-04	A	6-3	D'Youville College	Alfred University
2021-09-04	A	7-0	Huntington University	Bethel College - IN
2021-09-04	A	7-0	Indiana Wesleyan University	Bethel College - IN
2021-09-04	N	7-0	Indiana Wesleyan University	Huntington University
2021-09-04	A	5-4	Johnson University	Brevard College
2021-09-04	N	5-4	Lake Forest College	Edgewood College
2021-09-04	H	8-1	Luther College	Minnesota State University, Mankato
2021-09-04	H	5-4	Luther College	Minnesota State University, Mankato
2021-09-04	H	6-3	Luther College	Minnesota State University, Mankato
2021-09-04	H	5-0	Marian University - IN	University of Saint Francis - IN
2021-09-04	A	6-3	Minnesota State University, Mankato	Luther College
2021-09-04	H	9-0	North Central College	Carroll University - Wisconsin
2021-09-04	N	4-1	Oakland City University	Anderson University - IN
2021-09-04	A	7-0	Oakland City University	Kentucky Wesleyan College
2021-09-04	A	6-3	Plymouth State University	Husson University
2021-09-04	H	8-1	Ripon College	Marian University - WI
2021-09-04	A	7-2	Rutgers University - Camden	Fairleigh Dickinson University: Florham
2021-09-04	A	7-0	Seton Hill University	St. Vincent College
2021-09-04	A	9-0	Seton Hill University	St. Vincent College
2021-09-04	A	7-0	Spring Arbor University	Goshen College
2021-09-04	N	7-0	Spring Arbor University	Mount Vernon Nazarene University
2021-09-04	A	9-0	State Univ. of New York at New Paltz	SUNY at Oswego
2021-09-04	H	6-3	State Univ. of New York College at Brockport	Houghton College
2021-09-04	H	7-2	State Univ. of New York College at Cortland	State Univ. of New York College at Plattsburgh
2021-09-04	A	7-2	Stevens Institute of Technology	State Univ. of New York at Farmingdale
2021-09-04	H	8-1	University of Dubuque	Monmouth College
2021-09-04	A	6-3	University of Scranton	Messiah College
2021-09-04	A	9-0	University of Wisconsin-Stout	University of Dubuque
2021-09-04	H	8-1	Westminster College - Pennsylvania	University of Pittsburgh at Greensburg
2021-09-04	H	6-3	Wheaton College - IL	Lake Forest College
2021-09-04	H	9-0	Wisconsin Lutheran College	Alverno College
2021-09-05	N	7-0	Minnesota State University, Mankato	St. Ambrose University
2021-09-05	A	9-0	Minnesota State University, Mankato	Wartburg College
2021-09-05	A	6-3	Ohio Northern University	Adrian College
2021-09-05	N	9-0	Ohio Northern University	Manchester College
2021-09-05	A	9-0	Rutgers University - Camden	Immaculata University
2021-09-05	H	9-0	University of Wisconsin-Stevens Point	Marian University - WI
2021-09-05	H	8-1	University of Wisconsin-Stevens Point	Wisconsin Lutheran College
2021-09-05	H	9-0	Wartburg College	St. Ambrose University
2021-09-05	H	8-0	Wartburg College	St. Ambrose University
2021-09-06	A	5-2	Colby-Sawyer College	St. Michael's College
2021-09-06	H	7-0	Cornerstone University	Bethel College - IN
2021-09-06	A	0-7	Cowley County Community College	McPherson College
2021-09-06	A	0-7	Edinboro University of Pennsylvania	Grove City College
2021-09-06	H	5-4	Illinois College	Webster University
2021-09-07	H	4-3	Daemen College	Rochester Institute of Technology
2021-09-07	H	5-2	Grand View University	Buena Vista University
2021-09-07	H	7-0	Indiana Wesleyan University	DePauw University
2021-09-07	H	5-4	Lawrence University	University of Wisconsin-Oshkosh
2021-09-07	A	7-0	Otterbein University	Mount Vernon Nazarene University
2021-09-07	A	9-0	Rhode Island College	Regis College - Massachusetts
2021-09-07	A	8-1	Roger Williams University	Salem State University
2021-09-08	H	7-2	Carthage College	North Park University
2021-09-08	A	6-3	CUNY: Hunter College	Manhattanville College
2021-09-08	H	5-2	Edinboro University of Pennsylvania	Allegheny College
2021-09-08	A	6-1	McKendree University	Lewis & Clark Community College
2021-09-08	A	4-1	McKendree University	Lewis & Clark Community College
2021-09-08	A	0-9	North Central College	Illinois Wesleyan University
2021-09-08	H	6-1	St. Michael's College	State Univ. of New York College at Plattsburgh
2021-09-08	H	5-4	The College of New Jersey	State Univ. of New York at New Paltz
2021-09-08	A	5-2	Trine University	Goshen College
2021-09-08	H	9-0	Truman State University	Central College
2021-09-08	A	6-3	University of Wisconsin-Stevens Point	Edgewood College
2021-09-08	A	9-0	Wheaton College - IL	Elmhurst College
2021-09-09	A	5-3	College of Saint Mary - NE	Nebraska Wesleyan University
2021-09-09	H	8-1	Franciscan University of Steubenville	Thiel College
